k,P0_single,P0_geometric,P2_single,P2_geometric,P4_single,P4_geometric,fractional_difference_P0,fractional_difference_P2,fractional_difference_P4
0.24965277777777778,3232.0307566141087,3208.2169942992473,1956.4132470788863,1931.6522017159746,230.39412859613378,261.48447308615386,-0.007368049411698295,-0.012656347221059969,0.13494417014645135
0.25166666666666665,3198.7972820128361,3175.2916195564339,1929.0711887567429,1905.7903607050489,226.12078518400909,258.32542453218593,-0.0073482813645544048,-0.012068413124089088,0.14242228692939415
0.25368055555555552,3165.9004947548869,3142.7152053769278,1901.9754587501318,1880.2097057895385,221.8703110620591,255.19245740720027,-0.0073234422295872731,-0.011443761201259931,0.15018749550416713
0.25569444444444445,3133.2852044548022,3110.4314736376546,1875.1494223078489,1854.9325560958205,217.64490262484497,252.08776528449511,-0.0072938559134849649,-0.010781469450656595,0.15825255838414637
0.25770833333333332,3100.949434130081,3078.4377577992245,1848.6006151135489,1829.9651326882549,213.44747246114815,249.01348867665678,-0.0072596076811461416,-0.010080859149854435,0.16662655127941314
0.25972222222222219,3068.9014755426497,3046.7417613501239,1822.3327209634524,1805.3097697572887,209.28096164715959,245.97165294083578,-0.0072207317077872292,-0.0093412970147206866,0.1753178645821373
0.26173611111111111,3037.1484431471254,3015.3500393917611,1796.3492029373435,1780.9686170799196,205.14806536523434,242.96404793953786,-0.0071772599079077274,-0.0085621358209606643,0.18433506797628346
0.26374999999999998,3005.6963566811519,2984.2680804363954,1770.6533151832014,1756.9436551540186,201.05119643762328,239.992201620917,-0.0071292218846807582,-0.0077427127668773712,0.19368701043952896
0.26576388888888891,2974.5502176338277,2953.5003823456886,1745.2481073596889,1733.2367037835998,196.99245264761777,237.05735723759426,-0.0070766447859413354,-0.0068823472865761704,0.20338294209496963
0.26777777777777778,2943.7142034096569,2923.0506506035417,1720.1363800310889,1709.8493811680073,192.97358548467543,234.16044409173702,-0.0070195512805492077,-0.0059803391071210953,0.21343262345266606
0.26979166666666665,2913.201393959866,2892.9318561352002,1695.3171244618893,1686.7794471741922,188.9958088696074,231.30131578718652,-0.0069578223691269623,-0.0050360355384288496,0.22384362473755529
0.27180555555555558,2883.0405120174269,2863.1731419014586,1670.7819305992466,1664.0170871163136,185.05983721046505,228.47849631334742,-0.0068911172191839639,-0.004048908693013384,0.23461956822918392
0.27381944444444445,2853.2604948123012,2833.8038134534054,1646.5196353677497,1641.5496841377208,181.16638582988452,225.69070096809736,-0.0068191044576095599,-0.0030184585250445221,0.24576476996136157
0.27583333333333332,2823.8887162249289,2804.8515126238644,1622.5170488084611,1619.3625875863331,177.31632158851664,222.93708515656363,-0.0067414850633753139,-0.0019441775508273293,0.2572846264762661
0.27784722222222225,2794.9508835365236,2776.3421261195763,1598.7591533841801,1597.4393384867349,173.5107612234608,220.21733363670796,-0.0066579908529201823,-0.00082552452922723778,0.26918545042341646
