k,mu,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean
0.14291666666666666,1,16222.551555222244,11400.718200075324,8020.2581973899514,11406.535499149262,-0.00050999701656762042,1
0.14493055555555556,0,7580.0075407098284,4769.8666341014132,2990.3705788436605,4760.9906046065416,0.0018643240938731598,1
0.14493055555555556,0.5,9186.0593044182533,5991.1104495408317,3904.9536937039579,5989.2517238275823,0.00031034356192694013,1
0.14493055555555556,1,15988.55563783274,11220.009765525572,7880.5029563207072,11224.876835459667,-0.00043359673388299047,1
0.14694444444444446,0,7422.1118017823101,4663.6269926476216,2918.6470451555797,4654.3017391533922,0.0020035773391704481,1
0.14694444444444446,0.5,9007.0605726539161,5865.1881846707774,3816.140958490922,5862.7819989245127,0.00041041705912081561,1
0.14694444444444446,1,15759.800772274271,11043.6274424642,7744.278064906669,11047.546308027988,-0.00035472723576102094,1
0.14895833333333333,0,7266.5298002194004,4559.0461247301,2848.1030866356996,4549.2665291379844,0.0021497082066916917,1
0.14895833333333333,0.5,8831.4341502040388,5741.7772514842454,3729.183104372225,5738.8182599135143,0.00051560991073729134,1
0.14895833333333333,1,15537.709320365335,10872.620743169316,7612.3588065832146,10875.597380328731,-0.00027369872709692711,1
0.15097222222222223,0,7114.8079913225974,4457.1426214911617,2779.4096746680816,4446.9052344847432,0.0023021374341485323,1
0.15097222222222223,0.5,8660.7185697102796,5621.9308619773965,3644.8017184329374,5618.4163183003875,0.00062553991692659849,1
0.15097222222222223,1,15323.636439544329,10707.992356393863,7485.4880498724406,10710.037229104246,-0.0001909304950711288,1
0.15298611111111113,0,6968.2447582751856,4358.7686453095839,2713.1261185112371,4348.0716247384225,0.0024601757961622006,1
0.15298611111111113,0.5,8496.1645314109228,5506.5006914334954,3563.5772248812286,5502.430228815233,0.00073975724343511295,1
0.15298611111111113,1,15118.53410304134,10550.436734456691,7364.1728902006289,10551.563816856282,-0.00010681662160738625,1
0.155,0,6827.6988516616639,4264.480921387225,2649.6131993954573,4253.323523888108,0.0026232186280805703,1
0.155,0.5,8338.5292602856916,5395.9916672590771,3485.84632311826,5391.3663910163723,0.00085790426902021544,1
0.155,1,14922.700470294832,10400.14465369921,7248.5323145216571,10400.369059743007,-2.1576738527984141e-05,1
0.1570138888888889,0,6693.9796714067434,4174.8036564969179,2589.2102594088246,4163.1863808242424,0.0027904769592312917,1
0.1570138888888889,0.5,8188.5088228531085,5290.8670989382126,3411.9173950198842,5285.6897082562764,0.0009795108997505686,1
0.1570138888888889,1,14736.344366327741,10257.241610831643,7138.6376472978054,10256.579482313397,6.4556465378062811e-05,1
0.1590277777777778,0,6567.8889237481326,4090.2566445315051,2532.2541608485139,4078.1814642254553,0.0029609227573552666,1
0.1590277777777778,0.5,8046.7834976112099,5191.5807454828046,3342.0931729820049,5185.8557820123269,0.0011039573237525691,1
0.1590277777777778,1,14559.642806614191,10121.832420318029,7034.5471204709602,10120.301051863704,0.00015131649211586051,1
0.16104166666666667,0,6449.8981582688293,4011.1416043853478,2478.9377428860757,3998.6117568856303,0.0031335494070263703,1
0.16104166666666667,0.5,7913.6989784663147,5098.3566372644555,3276.5185804784101,5092.0901153905252,0.0012306384474598531,1
0.16104166666666667,1,14392.467436221616,9993.7953169393531,6936.1507194147998,9991.4124808208489,0.00023848841423346201,1
0.16305555555555556,0,6339.8759508673347,3937.3613083547689,2429.1899363023699,3924.3805698800861,0.0033077165283894594,1
0.16305555555555556,0.5,7789.0027260605621,5011.0067623611712,3215.0545789877506,5004.205119713728,0.0013591854220060817,1
0.16305555555555556,1,14234.175994681103,9872.6245157069989,6843.0511645519573,9869.4070043159154,0.00032600858285380951,1
0.16506944444444446,0,6237.6273381481133,3868.7768763971503,2382.912376564193,3855.3494503700053,0.0034828038806848927,1
0.16506944444444446,0.5,7672.3813128876891,4929.3018403126016,3157.5341528963127,4921.9717623617398,0.0014892564006390163,1
0.16506944444444446,1,14084.084696035858,9757.7845205971189,6754.8299511957366,9753.7478509525008,0.00041385831439377796,1
0.16708333333333333,0,6142.9590444355499,3805.2509811343803,2340.0080168014856,3791.3814646989003,0.0036581696050943524,1
0.16708333333333333,0.5,7563.5250152170956,4853.0158843195677,3103.7930710184723,4845.1642422838158,0.0016205110174039028,1
0.16708333333333333,1,13941.523590648891,9648.7515612275529,6671.0783976223993,9643.9098324030838,0.00050205040368589415,1
0.16909722222222223,0,6055.5656333018451,3746.5736566278088,2300.3328149756203,3732.2669169718902,0.0038332573672212877,1
